 User Campaign Missions Campaign ID,Campaigns Technical Name, User Campaign Missions Total Distinct Users Activated, User Campaign Missions Total Distinct Users Completed
69a98a3d67440357fc479dfe,TRADEIT USERS AL & TRADE NORTH AMERICA MARCH26,"3,239","2,729"
694a8c45fe58fa8f3dc72bdd,TRADEIT USERS AL & TRADE NORTH AMERICA JAN26,"4,750","4,280"
697893ba9cdcb10e9c74577b,TRADEIT USERS AL & TRADE NORTH AMERICA FEB26,"4,543","4,036"
69a98bad67440357fc479e01,TRADEIT USERS AL & TRADE MENA MARCH26,"1,387","1,245"
694a8d687454fa4a52840397,TRADEIT USERS AL & TRADE MENA JAN26,"1,537","1,415"
6978954a8bc18e02af3cb932,TRADEIT USERS AL & TRADE MENA FEB26,"1,629","1,513"
69a98b1867440357fc479dff,TRADEIT USERS AL & TRADE CIS MARCH26,"20,360","18,714"
694a8cdd46aba03183541c8c,TRADEIT USERS AL & TRADE CIS JAN26,"24,093","22,924"
697894b59cdcb10e9c74577e,TRADEIT USERS AL & TRADE CIS FEB26,"24,923","23,649"
69a98c6b8b5fcff0aab2539c,TRADEIT USERS AL & TRADE APAC MARCH26,"1,753","1,550"
694a8de78e214f349b54591a,TRADEIT USERS AL & TRADE APAC JAN26,"2,242","2,061"
697895df9cdcb10e9c745780,TRADEIT USERS AL & TRADE APAC FEB26,"2,174","2,001"
694a8c1711b1431cb8f133b8,TRADEIT USERS AL & NO TRADE NORTH AMERICA JAN26,"5,994","5,414"
697893828bc18e02af3cb92f,TRADEIT USERS AL & NO TRADE NORTH AMERICA FEB26,"5,764","5,133"
694a8d3a11b1431cb8f133bc,TRADEIT USERS AL & NO TRADE MENA JAN26,"2,172","2,008"
6978951588d3595e56b6783d,TRADEIT USERS AL & NO TRADE MENA FEB26,"2,236","2,095"
694a8caf11b1431cb8f133b9,TRADEIT USERS AL & NO TRADE CIS JAN26,"56,334","53,535"
697894869cdcb10e9c74577d,TRADEIT USERS AL & NO TRADE CIS FEB26,"58,106","55,082"
694a8dbe8e214f349b545919,TRADEIT USERS AL & NO TRADE  APAC JAN26,"4,007","3,722"
697895ad9cdcb10e9c74577f,TRADEIT USERS AL & NO TRADE  APAC FEB26,"3,906","3,595"
69a98ae424382158645625b8,TRADEIT TRADEIT AL & NO TRADE - MISTERY BOX CIS MARCH26,"45,987","42,274"
694a8bb5fe58fa8f3dc72bdb,TRADEIT GENERAL MISSION NORTH AMERICA JAN26,"21,533","18,292"
697893428bc18e02af3cb92e,TRADEIT GENERAL MISSION NORTH AMERICA FEB26,"47,078","39,972"
694a8d0d46aba03183541c8d,TRADEIT GENERAL MISSION MENA JAN26,"15,245","13,443"
697894e188d3595e56b6783c,TRADEIT GENERAL MISSION MENA FEB26,"14,746","13,180"
69a98cf1c9826d9e405f19ce,TRADEIT GENERAL MISSION LATAM MARCH26,"38,320","32,112"
694a8be18e214f349b545914,TRADEIT GENERAL MISSION GROUP B NORTH AMERICA JAN26,"21,667","18,410"
69a98d1e8b5fcff0aab2539e,TRADEIT GENERAL MISSION EU MARCH26,"497,959","436,918"
694a8c7946aba03183541c8b,TRADEIT GENERAL MISSION CIS JAN26,"390,589","365,173"
6978945688d3595e56b67839,TRADEIT GENERAL MISSION CIS FEB26,"390,909","364,668"
69a98cb824382158645625bd,TRADEIT GENERAL MISSION CIS EXC MARCH26,"144,450","135,867"
694a8d9546aba03183541c8e,TRADEIT GENERAL MISSION APAC JAN26,"49,048","42,924"
6978957888d3595e56b6783e,TRADEIT GENERAL MISSION APAC FEB26,"44,513","38,724"
69a989878b5fcff0aab25396,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - NORTH AMERICA MARCH26,"27,475","22,409"
69a98b5124382158645625ba,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - MENA MARCH26,"10,083","8,787"
69a98a74089d5fa419da09a3,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - CIS MARCH26,"284,024","256,685"
69a98be124382158645625bc,TRADEIT GENERAL MISSION - MISTERY BOX ALL AGE - APAC MARCH26,"20,866","17,007"
69a98a03c9826d9e405f19c7,TRADEIT AL & NO TRADE - MISTERY BOX - NORTH AMERICA MARCH26,"4,040","3,481"
69a98b81c9826d9e405f19cc,TRADEIT AL & NO TRADE - MISTERY BOX - MENA MARCH26,"1,772","1,607"
69a98c3e67440357fc479e03,TRADEIT AL & NO TRADE - MISTERY BOX -  APAC MARCH26,"3,000","2,646"
