Name,Feedback Type,Feedback Text
skin_vault_owner,loveIt,
skin_vault_owner,curious,
skin_vault_visitor,curious,"how the rarity works, highest rarity on fl0m brings up etchlord"
skin_vault_visitor,loveIt,"seeing the skins someone uses, but it is missing the actual price of the skins "
skin_vault_visitor,loveIt,would be a amazing feature
skin_vault_visitor,curious,
skin_vault_visitor,stillFiguringItOut,
skin_vault_visitor,stillFiguringItOut,What exactly it is
skin_vault_visitor,loveIt,idk
skin_vault_visitor,loveIt,
skin_vault_visitor,loveIt,great
skin_vault_visitor,loveIt,The UI
skin_vault_visitor,notMyThing,
skin_vault_visitor,loveIt,"i just love to browse other ppl's skins, please make it official!"
skin_vault_visitor,stillFiguringItOut,"LOWEST FLOAT Sticker | biguzera | Budapest 2025 High Grade, how sticker may had float? 🤔🤔🤔😘😘😘👍👍👍"
