Platform,tradeit,whitemarket,winline,winline_by,winline_kz
Event Type,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users,Total Distinct Users
tradeit,"343,295",,,,
user_passes_identification,"249,015",,,,
trade,"103,311",,,,
trade_5_dollars,"38,633",,,,
notification,"30,987",,,,
trade_250_dollars,"12,229",,,,
buy,"6,705",,,,
sell_or_buy,"4,769",,,,
sell,"3,936",,,,
trade_1000_dollars,"1,443",,,,
sell_or_buy_200_dollars,438,,,,
trade_500_dollars,41,,,,
some_event,1,,,,
trade_5_dollar,1,,,,
whitemarket,,"627,255",,,
email_confirmed,,"494,554",,,
winline,,,"369,107",,
registration,,,"368,996","13,729","25,135"
identification,,,"285,647","5,166","5,970"
legal,,,"232,352",,
first_dep,,,"206,700","4,749","4,203"
first_bet,,,"199,670","4,585","4,693"
last_dep,,,"153,300","4,748","4,201"
second_dep,,,"85,187",,
deposit_success,,"38,433",,,
first_dep_afterbind,,,"36,878","2,700","1,990"
deal_buy,,"31,084",,,
task_dep_3000,,,"27,727",,
874,,,"27,710",,
kyc_passed,,"25,708",,,
winline_kz,,,,,"25,187"
task_bet_5000,,,"20,116",,
875,,,"20,106",,
winline_by,,,,"13,728",
task_dep_5000,,,"12,034",,
889,,,"12,027",,
crm0,,,"8,874","2,677","2,515"
task_dep,,,"8,675",,
876,,,"7,623",,
task_bet_25000,,,"6,613",,
deal_sell,,"5,411",,,
last_bet,,,,"4,584","4,693"
task_bet,,,"4,240",1,1
task_first_dep_500,,,"3,571",,
task_bet_2500,,,"3,569",,
867,,,"3,568",,
reactivated_dep,,,"3,202",19,47
crm1,,,,"1,655",434
1118,,,"1,199",,
task_dep_1111,,,"1,199",,
869,,,"1,097",,
task_bet_1000,,,"1,097",,
deal_buy_200,,"1,061",,,
875_manual,,,827,,
1119,,,798,,
task_dep_2222,,,798,,
876_manual,,,499,,
task_first_dep,,,366,,
deal_buy_500,,351,,,
1120,,,168,,
task_bet_4444,,,168,,
1121,,,75,,
task_bet_5555,,,75,,
1148,,,41,,
task_bet_3333,,,41,,
857,,,1,,
bet_500,,,1,,
7557f3ae-8b68-4c92-a6bc-0665dcfe2913,,,,1,
aed57a51-226f-490f-9fff-a08a74099e1b,,,,1,
a0be25cd-262f-43eb-8556-58c229ea21a8,,,,,1
